Starting Phase 5 optimization with 10000 iterations...
Starting Phase 5: Definitive Truth Sweep...
Initial CV Fitness: 128.0 | Avg Score: 168.85
Iter 0/10000 | Best Fitness: 128.0
[828] New Global Best! Fitness: 134.59 | Avg: 165.65 | Temp: 9172
[840] New Global Best! Fitness: 138.32 | Avg: 171.04 | Temp: 9160
[850] New Global Best! Fitness: 126.0 | Avg: 158.62 | Temp: 9150
[852] New Global Best! Fitness: 150.58 | Avg: 183.54 | Temp: 9148
[855] New Global Best! Fitness: 130.58 | Avg: 164.46 | Temp: 9145
[859] New Global Best! Fitness: 122.26 | Avg: 154.19 | Temp: 9141
[860] New Global Best! Fitness: 122.73 | Avg: 153.58 | Temp: 9140
[862] New Global Best! Fitness: 147.72 | Avg: 179.23 | Temp: 9138
[878] New Global Best! Fitness: 139.52 | Avg: 172.19 | Temp: 9122
[885] New Global Best! Fitness: 123.5 | Avg: 156.08 | Temp: 9115
[886] New Global Best! Fitness: 134.33 | Avg: 167.35 | Temp: 9114
[890] New Global Best! Fitness: 154.69 | Avg: 186.62 | Temp: 9110
[899] New Global Best! Fitness: 129.54 | Avg: 160.38 | Temp: 9101
Iter 900/10000 | Best Fitness: 129.54
[901] New Global Best! Fitness: 132.28 | Avg: 166.96 | Temp: 9099
[905] New Global Best! Fitness: 135.3 | Avg: 167.65 | Temp: 9095
[917] New Global Best! Fitness: 134.84 | Avg: 165.92 | Temp: 9083
[922] New Global Best! Fitness: 127.07 | Avg: 159.96 | Temp: 9078
[923] New Global Best! Fitness: 131.55 | Avg: 162.23 | Temp: 9077
[924] New Global Best! Fitness: 136.82 | Avg: 174.08 | Temp: 9076
[925] New Global Best! Fitness: 138.39 | Avg: 171.38 | Temp: 9075
[927] New Global Best! Fitness: 129.1 | Avg: 162.54 | Temp: 9073
[930] New Global Best! Fitness: 128.25 | Avg: 158.27 | Temp: 9070
[932] New Global Best! Fitness: 124.99 | Avg: 156.42 | Temp: 9068
[934] New Global Best! Fitness: 134.52 | Avg: 166.5 | Temp: 9066
[935] New Global Best! Fitness: 141.86 | Avg: 172.42 | Temp: 9065
[941] New Global Best! Fitness: 133.94 | Avg: 166.19 | Temp: 9059
[944] New Global Best! Fitness: 132.09 | Avg: 163.54 | Temp: 9056
[949] New Global Best! Fitness: 129.86 | Avg: 161.77 | Temp: 9051
[951] New Global Best! Fitness: 143.41 | Avg: 175.54 | Temp: 9049
[952] New Global Best! Fitness: 145.37 | Avg: 179.46 | Temp: 9048
[960] New Global Best! Fitness: 133.18 | Avg: 164.23 | Temp: 9040
[963] New Global Best! Fitness: 129.21 | Avg: 161.88 | Temp: 9037
[964] New Global Best! Fitness: 160.66 | Avg: 193.54 | Temp: 9036
[986] New Global Best! Fitness: 128.52 | Avg: 154.85 | Temp: 9014
[990] New Global Best! Fitness: 127.13 | Avg: 159.27 | Temp: 9010
[991] New Global Best! Fitness: 134.47 | Avg: 166.19 | Temp: 9009
[993] New Global Best! Fitness: 129.4 | Avg: 162.58 | Temp: 9007
[995] New Global Best! Fitness: 134.62 | Avg: 166.38 | Temp: 9005
[997] New Global Best! Fitness: 151.62 | Avg: 184.5 | Temp: 9003
Iter 1000/10000 | Best Fitness: 151.62
[1005] New Global Best! Fitness: 138.52 | Avg: 169.15 | Temp: 8995
[1009] New Global Best! Fitness: 151.08 | Avg: 181.62 | Temp: 8991
[1017] New Global Best! Fitness: 141.05 | Avg: 174.15 | Temp: 8983
[1024] New Global Best! Fitness: 145.57 | Avg: 176.77 | Temp: 8976
[1037] New Global Best! Fitness: 134.76 | Avg: 165.5 | Temp: 8963
[1045] New Global Best! Fitness: 142.25 | Avg: 174.12 | Temp: 8955
[1047] New Global Best! Fitness: 140.43 | Avg: 170.42 | Temp: 8953
[1050] New Global Best! Fitness: 123.86 | Avg: 152.77 | Temp: 8950
[1051] New Global Best! Fitness: 136.41 | Avg: 168.77 | Temp: 8949
[1054] New Global Best! Fitness: 161.4 | Avg: 191.69 | Temp: 8946
[1070] New Global Best! Fitness: 118.99 | Avg: 153.38 | Temp: 8930
[1072] New Global Best! Fitness: 129.78 | Avg: 160.5 | Temp: 8928
[1076] New Global Best! Fitness: 132.4 | Avg: 164.38 | Temp: 8924
[1078] New Global Best! Fitness: 144.12 | Avg: 175.62 | Temp: 8922
[1090] New Global Best! Fitness: 145.23 | Avg: 180.5 | Temp: 8910
[1094] New Global Best! Fitness: 146.41 | Avg: 178.88 | Temp: 8906
Iter 1100/10000 | Best Fitness: 146.41
[1108] New Global Best! Fitness: 137.9 | Avg: 168.15 | Temp: 8892
[1111] New Global Best! Fitness: 123.56 | Avg: 156.23 | Temp: 8889
[1114] New Global Best! Fitness: 132.75 | Avg: 163.88 | Temp: 8886
[1119] New Global Best! Fitness: 133.89 | Avg: 165.88 | Temp: 8881
[1125] New Global Best! Fitness: 128.88 | Avg: 160.31 | Temp: 8875
[1128] New Global Best! Fitness: 135.22 | Avg: 165.38 | Temp: 8872
[1129] New Global Best! Fitness: 135.91 | Avg: 166.58 | Temp: 8871
[1130] New Global Best! Fitness: 141.04 | Avg: 172.15 | Temp: 8870
[1136] New Global Best! Fitness: 126.08 | Avg: 157.23 | Temp: 8864
[1138] New Global Best! Fitness: 136.76 | Avg: 169.54 | Temp: 8862
[1153] New Global Best! Fitness: 149.45 | Avg: 180.08 | Temp: 8847
[1171] New Global Best! Fitness: 153.38 | Avg: 184.96 | Temp: 8829
[1182] New Global Best! Fitness: 124.66 | Avg: 154.54 | Temp: 8818
[1184] New Global Best! Fitness: 117.24 | Avg: 148.46 | Temp: 8816
[1186] New Global Best! Fitness: 141.33 | Avg: 171.15 | Temp: 8814
[1189] New Global Best! Fitness: 141.94 | Avg: 172.62 | Temp: 8811
[1195] New Global Best! Fitness: 133.19 | Avg: 164.62 | Temp: 8805
Iter 1200/10000 | Best Fitness: 133.19
[1201] New Global Best! Fitness: 138.31 | Avg: 172.15 | Temp: 8799
[1204] New Global Best! Fitness: 140.37 | Avg: 171.27 | Temp: 8796
[1216] New Global Best! Fitness: 135.07 | Avg: 165.35 | Temp: 8784
[1222] New Global Best! Fitness: 138.01 | Avg: 166.27 | Temp: 8778
[1226] New Global Best! Fitness: 140.43 | Avg: 173.0 | Temp: 8774
[1239] New Global Best! Fitness: 132.69 | Avg: 165.54 | Temp: 8761
[1242] New Global Best! Fitness: 148.74 | Avg: 179.12 | Temp: 8758
[1268] New Global Best! Fitness: 129.04 | Avg: 160.46 | Temp: 8732
[1271] New Global Best! Fitness: 128.93 | Avg: 161.27 | Temp: 8729
[1274] New Global Best! Fitness: 132.67 | Avg: 164.58 | Temp: 8726
[1277] New Global Best! Fitness: 134.65 | Avg: 168.04 | Temp: 8723
[1279] New Global Best! Fitness: 143.49 | Avg: 177.62 | Temp: 8721
[1282] New Global Best! Fitness: 122.94 | Avg: 155.04 | Temp: 8718
[1284] New Global Best! Fitness: 124.64 | Avg: 156.12 | Temp: 8716
[1286] New Global Best! Fitness: 133.24 | Avg: 165.85 | Temp: 8714
[1299] New Global Best! Fitness: 139.61 | Avg: 171.73 | Temp: 8701
Iter 1300/10000 | Best Fitness: 139.61
[1302] New Global Best! Fitness: 130.08 | Avg: 161.38 | Temp: 8698
[1303] New Global Best! Fitness: 139.45 | Avg: 170.04 | Temp: 8697
