Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,SOS,Momentum,Intuition
Florida,,115.1,,,,73.1,0.518,,13.1,,54.1,8.81,,0.0
Florida A&M,,94.5,,,,69.9,0.484,,18.9,,48.6,-4.19,,0.0
Florida Atlantic,,116.2,,,,69.1,0.547,,13.8,,52.8,4.61,,0.0
Florida Gulf Coast,,106.9,,,,65.6,0.524,,15.0,,51.3,-3.94,,0.0
Florida International,,101.8,,,,72.1,0.507,,16.5,,44.9,-2.17,,0.0
Florida State,,105.7,,,,72.2,0.503,,14.3,,47.5,9.27,,0.0
Fordham,,99.8,,,,69.3,0.467,,15.5,,50.7,1.48,,0.0
Fresno State,,101.0,,,,66.0,0.516,,16.8,,47.5,3.5,,0.0
Furman,,109.9,,,,71.2,0.521,,14.2,,51.3,-1.93,,0.0
Gardner-Webb,,103.5,,,,70.2,0.498,,14.2,,51.2,-1.73,,0.0
George Mason,,109.2,,,,65.0,0.523,,15.7,,53.3,1.85,,0.0
George Washington,,106.2,,,,70.4,0.518,,15.2,,49.5,-0.06,,0.0
Georgetown,,104.3,,,,67.4,0.486,,15.2,,50.1,7.72,,0.0
Georgia,,105.4,,,,70.6,0.498,,14.0,,48.4,8.63,,0.0
nan,,,,,,,,,,,,,,0.0
Georgia Southern,,103.5,,,,70.1,0.508,,16.3,,47.3,-2.53,,0.0
Georgia State,,107.4,,,,70.6,0.495,,11.9,,49.3,-2.59,,0.0
Georgia Tech,,102.5,,,,68.2,0.487,,15.2,,51.8,8.82,,0.0
Gonzaga,,121.1,,,,69.8,0.574,,12.1,,55.0,4.02,,0.0
Grambling,,100.1,,,,66.9,0.487,,17.0,,49.0,-5.48,,0.0
Grand Canyon,,112.9,,,,69.8,0.521,,15.0,,53.1,-0.52,,0.0
Green Bay,,106.0,,,,64.6,0.53,,16.2,,50.4,-4.07,,0.0
Hampton,,101.4,,,,70.8,0.484,,15.2,,49.8,-5.29,,0.0
Harvard,,102.9,,,,67.8,0.505,,15.7,,48.6,-2.08,,0.0
Hawaii,,106.1,,,,67.4,0.53,,16.3,,51.5,-2.57,,0.0
High Point,,119.4,,,,69.3,0.531,,13.3,,55.9,-4.83,,0.0
Hofstra,,111.0,,,,66.6,0.557,,14.0,,48.2,-1.98,,0.0
Holy Cross,,101.2,,,,65.4,0.506,,14.9,,48.0,-7.87,,0.0
