Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,SOS,Momentum,Intuition
Pittsburgh,,103.9,,,,68.5,0.488,,15.5,,6.75,,0.0
Portland,,94.6,,,,73.0,0.476,,17.4,,5.08,,0.0
Portland State,,96.8,,,,70.6,0.455,,16.5,,-4.66,,0.0
Prairie View,,100.9,,,,70.7,0.503,,16.8,,-15.07,,0.0
Presbyterian,,95.5,,,,66.8,0.47,,19.3,,-9.0,,0.0
Providence,,101.9,,,,67.2,0.483,,14.8,,8.82,,0.0
Purdue,,105.8,,,,66.5,0.51,,16.0,,11.23,,0.0
Purdue Fort Wayne,,104.2,,,,69.4,0.582,,21.4,,-8.63,,0.0
Quinnipiac,,92.2,,,,72.0,0.469,,17.6,,-7.6,,0.0
Radford,,102.6,,,,64.7,0.513,,19.4,,-6.6,,0.0
Rhode Island,,99.6,,,,70.3,0.492,,17.2,,4.93,,0.0
Rice,,101.9,,,,72.5,0.527,,18.5,,-1.49,,0.0
Richmond,,107.3,,,,69.6,0.538,,13.7,,5.0,,0.0
Rider,,97.8,,,,68.6,0.483,,16.3,,-5.76,,0.0
Robert Morris,,101.5,,,,68.5,0.504,,16.2,,-5.53,,0.0
nan,,,,,,,,,,,,,0.0
Rutgers,,101.0,,,,68.3,0.501,,14.7,,12.5,,0.0
Sacramento State,,107.0,,,,66.2,0.516,,13.2,,-3.65,,0.0
Sacred Heart,,101.3,,,,68.0,0.48,,16.1,,-7.47,,0.0
Saint Francis (PA),,97.6,,,,69.7,0.478,,17.5,,-5.8,,0.0
Saint Joseph's,,95.8,,,,73.0,0.486,,16.8,,5.89,,0.0
Saint Louis,,109.2,,,,68.7,0.516,,15.0,,2.19,,0.0
Saint Mary's (CA),,97.5,,,,65.9,0.478,,15.2,,6.43,,0.0
Saint Peter's,,92.9,,,,68.0,0.456,,18.8,,-7.2,,0.0
Sam Houston,,106.5,,,,74.7,0.526,,16.6,,-4.87,,0.0
Samford,,100.4,,,,75.0,0.506,,18.3,,-1.63,,0.0
San Diego,,90.9,,,,72.2,0.464,,16.3,,5.64,,0.0
San Diego State,,109.5,,,,66.9,0.526,,14.4,,2.99,,0.0
San Francisco,,102.8,,,,69.5,0.513,,14.9,,3.84,,0.0
San Jose State,,90.8,,,,72.4,0.455,,15.6,,0.98,,0.0
Santa Clara,,96.6,,,,72.1,0.483,,16.3,,2.16,,0.0
Seattle,,102.8,,,,70.5,0.481,,13.2,,-3.51,,0.0
Seton Hall,,103.7,,,,67.8,0.5,,16.4,,9.53,,0.0
Siena,,102.2,,,,66.2,0.52,,17.2,,-8.58,,0.0
South Alabama,,106.9,,,,68.4,0.52,,15.1,,-5.86,,0.0
