Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition
IU Indy,,,,,,,0.526,,17.7,,51.1,28.6,0.284,0.35,-2.51,0,0,0,0,0,0,0.0,0.0
Jackson State,,,,,,,0.472,,18.9,,51.7,42.0,0.272,0.429,-8.22,0,0,0,0,0,0,0.0,0.0
Jacksonville,,,,,,,0.501,,17.3,,53.8,45.6,0.312,0.407,-0.05,0,0,0,0,0,0,0.0,0.0
Jacksonville State,,,,,,,0.488,,17.1,,50.8,36.5,0.29,0.413,-4.78,0,0,0,0,0,0,0.0,0.0
James Madison,,,,,,,0.511,,18.0,,49.5,35.1,0.363,0.372,-2.91,0,0,0,0,0,0,0.0,0.0
Kansas,,,,,,,0.532,,17.8,,55.1,42.1,0.296,0.395,7.9,0,0,0,0,0,0,0.0,0.0
Kansas City,,,,,,,0.453,,16.7,,48.5,35.3,0.332,0.347,-1.25,0,0,0,0,0,0,0.0,0.0
Kansas State,,,,,,,0.485,,16.1,,54.3,55.5,0.31,0.419,5.24,0,0,0,0,0,0,0.0,0.0
Kennesaw State,,90.5,,,,64.1,0.442,,18.7,,45.3,33.3,0.385,0.234,,0,0,0,0,0,0,0.0,0.0
Kent State,,,,,,,0.489,,16.3,,49.3,40.9,0.302,0.341,-0.97,0,0,0,0,0,0,0.0,0.0
Kentucky,,,,,,,0.533,,20.8,,53.6,32.7,0.295,0.401,4.82,0,0,0,0,0,0,0.0,0.0
La Salle,,,,,,,0.489,,17.5,,53.5,40.4,0.284,0.398,1.12,0,0,0,0,0,0,0.0,0.0
Lafayette,,,,,,,0.474,,21.1,,47.3,31.1,0.453,0.342,-6.14,0,0,0,0,0,0,0.0,0.0
Lamar,,,,,,,0.483,,16.5,,51.3,36.0,0.297,0.407,-1.04,0,0,0,0,0,0,0.0,0.0
Lehigh,,,,,,,0.434,,16.8,,51.9,35.3,0.305,0.389,-8.28,0,0,0,0,0,0,0.0,0.0
Liberty,,,,,,,0.535,,16.4,,48.9,37.0,0.446,0.352,-5.49,0,0,0,0,0,0,0.0,0.0
Lipscomb,,,,,,,0.532,,19.3,,54.6,38.9,0.33,0.448,-3.49,0,0,0,0,0,0,0.0,0.0
Little Rock,,,,,,,0.497,,19.4,,51.7,33.5,0.28,0.449,-3.72,0,0,0,0,0,0,0.0,0.0
Long Beach State,,,,,,,0.513,,17.9,,49.4,31.7,0.369,0.376,-0.27,0,0,0,0,0,0,0.0,0.0
Long Island University,,,,,,,0.464,,16.1,,52.7,39.9,0.329,0.425,-8.63,0,0,0,0,0,0,0.0,0.0
Longwood,,,,,,,0.49,,16.4,,45.7,39.3,0.365,0.311,-6.51,0,0,0,0,0,0,0.0,0.0
Louisiana,,,,,,,0.476,,17.6,,48.2,34.7,0.376,0.33,-2.23,0,0,0,0,0,0,0.0,0.0
Louisiana State,,,,,,,0.499,,14.8,,53.5,47.5,0.273,0.354,3.27,0,0,0,0,0,0,0.0,0.0
Louisiana Tech,,,,,,,0.491,,20.2,,51.3,37.5,0.297,0.426,-1.98,0,0,0,0,0,0,0.0,0.0
Louisiana-Monroe,,,,,,,0.459,,19.1,,49.8,35.0,0.323,0.401,-3.2,0,0,0,0,0,0,0.0,0.0
Louisville,,,,,,,0.527,,16.8,,51.8,46.4,0.378,0.314,8.41,0,0,0,0,0,0,0.0,0.0
Loyola (IL),,,,,,,0.451,,16.7,,49.1,,0.282,0.333,-0.67,0,0,0,0,0,0,0.0,0.0
Loyola (MD),,,,,,,0.441,,16.6,,49.1,,0.322,0.365,-0.65,0,0,0,0,0,0,0.0,0.0
Loyola Marymount,,,,,,,0.396,,19.0,,45.5,37.2,0.317,0.347,1.8,0,0,0,0,0,0,0.0,0.0
Maine,,,,,,,0.481,,18.6,,48.6,34.4,0.341,0.38,-4.4,0,0,0,0,0,0,0.0,0.0
Manhattan,,,,,,,0.446,,17.3,,52.0,38.2,0.299,0.445,-3.4,0,0,0,0,0,0,0.0,0.0
Marist,,,,,,,0.471,,19.5,,47.6,31.8,0.366,0.339,-1.85,0,0,0,0,0,0,0.0,0.0
Marquette,,,,,,,0.512,,14.2,,52.0,42.5,0.347,0.454,7.87,0,0,0,0,0,0,0.0,0.0
Marshall,,,,,,,0.497,,16.5,,51.1,37.4,0.35,0.423,2.73,0,0,0,0,0,0,0.0,0.0
Maryland,,,,,,,0.47,,14.8,,48.9,46.4,0.277,0.28,8.99,0,0,0,0,0,0,0.0,0.0
Maryland-Baltimore County,,,,,,,0.468,,13.1,,47.7,31.8,0.205,0.331,-4.16,0,0,0,0,0,0,0.0,0.0
Maryland-Eastern Shore,,,,,,,0.421,,20.5,,50.3,44.6,0.31,0.44,-8.8,0,0,0,0,0,0,0.0,0.0
Massachusetts,,,,,,,0.507,,17.4,,47.5,31.7,0.408,0.289,3.54,0,0,0,0,0,0,0.0,0.0
McNeese State,,,,,,,0.474,,19.8,,52.4,36.3,0.273,0.314,-3.99,0,0,0,0,0,0,0.0,0.0
Memphis,,,,,,,0.501,,15.2,,54.2,49.8,0.313,0.399,4.63,0,0,0,0,0,0,0.0,0.0
Mercer,,,,,,,0.492,,18.3,,51.6,44.2,0.37,0.388,0.12,0,0,0,0,0,0,0.0,0.0
Miami (FL),,,,,,,0.494,,16.3,,53.5,,0.366,0.379,9.04,0,0,0,0,0,0,0.0,0.0
Miami (OH),,,,,,,0.488,,18.7,,50.2,,0.319,0.346,0.46,0,0,0,0,0,0,0.0,0.0
Michigan,,,,,,,0.505,,15.6,,47.5,36.2,0.477,0.285,9.74,0,0,0,0,0,0,0.0,0.0
Michigan State,,,,,,,0.498,,17.3,,56.8,53.3,0.266,0.411,9.37,0,0,0,0,0,0,0.0,0.0
Middle Tennessee,,,,,,,0.494,,15.1,,52.1,38.5,0.27,0.383,-2.78,0,0,0,0,0,0,0.0,0.0
Milwaukee,,,,,,,0.467,,16.2,,51.1,38.1,0.407,0.352,0.8,0,0,0,0,0,0,0.0,0.0
Minnesota,,,,,,,0.494,,18.8,,51.5,39.7,0.324,0.345,7.19,0,0,0,0,0,0,0.0,0.0
Mississippi,,,,,,,0.492,,16.1,,50.5,39.9,0.346,0.342,5.41,0,0,0,0,0,0,0.0,0.0
Mississippi State,,,,,,,0.504,,17.4,,49.4,40.7,0.398,0.412,4.62,0,0,0,0,0,0,0.0,0.0
Mississippi Valley State,,,,,,,0.437,,18.7,,47.7,40.8,0.329,0.328,-7.22,0,0,0,0,0,0,0.0,0.0
Missouri,,,,,,,0.527,,13.8,,49.6,48.6,0.313,0.366,6.72,0,0,0,0,0,0,0.0,0.0
Missouri State,,,,,,,0.462,,17.8,,49.7,34.0,0.38,0.38,1.9,0,0,0,0,0,0,0.0,0.0
Monmouth,,,,,,,0.47,,19.6,,47.8,32.4,0.356,0.333,-5.91,0,0,0,0,0,0,0.0,0.0
Montana,,,,,,,0.515,,16.4,,49.4,24.8,0.316,0.38,-3.53,0,0,0,0,0,0,0.0,0.0
Montana State,,,,,,,0.471,,17.5,,51.4,38.8,0.346,0.393,-2.45,0,0,0,0,0,0,0.0,0.0
Morehead State,,,,,,,0.485,,19.0,,55.9,49.8,0.286,0.416,-3.61,0,0,0,0,0,0,0.0,0.0
Morgan State,,,,,,,0.463,,16.1,,52.4,50.8,0.262,0.33,-6.53,0,0,0,0,0,0,0.0,0.0
Mount St. Mary's,,,,,,,0.494,,16.8,,51.3,39.7,0.258,0.343,-5.78,0,0,0,0,0,0,0.0,0.0
Murray State,,,,,,,0.489,,16.9,,52.3,38.4,0.297,0.407,-3.95,0,0,0,0,0,0,0.0,0.0
Navy,,,,,,,0.474,,16.9,,48.9,30.9,0.378,0.38,-7.68,0,0,0,0,0,0,0.0,0.0
NC State,,,,,,,0.538,,18.5,,52.5,34.0,0.331,0.378,6.74,0,0,0,0,0,0,0.0,0.0
Nebraska,,,,,,,0.502,,16.1,,44.7,22.5,0.363,0.382,4.82,0,0,0,0,0,0,0.0,0.0
Nevada,,,,,,,0.47,,15.0,,51.0,40.9,0.279,0.404,1.4,0,0,0,0,0,0,0.0,0.0
Nevada-Las Vegas,,,,,,,0.492,,15.3,,47.8,32.5,0.4,0.379,4.34,0,0,0,0,0,0,0.0,0.0
New Hampshire,,,,,,,0.458,,17.1,,51.2,37.5,0.443,0.319,-5.57,0,0,0,0,0,0,0.0,0.0
New Mexico,,,,,,,0.527,,16.0,,52.2,34.0,0.344,0.46,3.6,0,0,0,0,0,0,0.0,0.0
New Mexico State,,,,,,,0.525,,16.3,,47.9,35.2,0.299,0.377,0.28,0,0,0,0,0,0,0.0,0.0
New Orleans,,,,,,,0.47,,19.6,,48.4,28.8,0.234,0.408,-4.08,0,0,0,0,0,0,0.0,0.0
Niagara,,,,,,,0.476,,15.3,,49.7,53.6,0.393,0.412,-2.25,0,0,0,0,0,0,0.0,0.0
Nicholls State,,,,,,,0.547,,20.0,,49.5,25.8,0.395,0.397,-4.08,0,0,0,0,0,0,0.0,0.0
NJIT,,74.8,,,,66.6,0.385,,23.6,,47.2,29.3,0.35,0.306,,0,0,0,0,0,0,0.0,0.0
Norfolk State,,,,,,,0.477,,19.4,,48.7,39.8,0.272,0.375,-9.49,0,0,0,0,0,0,0.0,0.0
North Carolina,,,,,,,0.533,,13.7,,54.1,55.6,0.272,0.392,8.35,0,0,0,0,0,0,0.0,0.0
North Carolina A&T,,,,,,,0.481,,21.4,,50.0,41.4,0.342,0.319,-8.37,0,0,0,0,0,0,0.0,0.0
North Carolina Central,,84.1,,,,72.4,0.421,,20.9,,42.8,28.4,0.32,0.319,,0,0,0,0,0,0,0.0,0.0
