Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8_level_1,W,L,Unnamed: 11_level_1,W,L,Unnamed: 14_level_1,W,L,Unnamed: 17_level_1,Tm.,Opp.,Unnamed: 20_level_1,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
90,Florida Gulf Coast,34,19,15,.559,-2.89,-4.92,,13,5,,11,5,,7,9,,2454,2370,,65.6,110.0,.232,.384,.555,52.6,51.0,8.4,7.1,.537,14.0,30.3,.159
91,Florida International,33,10,23,.303,-6.72,-1.66,,3,15,,7,8,,1,13,,2285,2380,,69.6,98.0,.348,.303,.508,50.3,49.1,12.7,13.6,.468,16.7,31.6,.246
92,Florida State,32,17,15,.531,8.43,6.43,,8,12,,11,5,,2,9,,2383,2319,,70.2,105.6,.394,.337,.546,49.4,50.0,10.8,14.1,.507,15.3,29.7,.282
93,Fordham,33,12,21,.364,-4.44,0.59,,3,15,,8,8,,2,10,,2452,2573,,70.5,104.2,.333,.416,.527,50.0,53.2,10.6,8.7,.491,15.7,31.9,.239
94,Fresno State,32,6,26,.188,-5.60,4.40,,2,18,,5,9,,1,14,,2262,2582,,70.7,97.3,.364,.353,.500,45.9,44.0,10.4,8.7,.461,15.4,27.0,.252
95,Furman,35,25,10,.714,-0.15,-3.27,,11,7,,13,3,,9,6,,2702,2443,,67.0,113.9,.336,.512,.576,51.4,64.0,9.7,9.0,.552,14.3,30.9,.231
96,Gardner-Webb,31,11,20,.355,-8.21,-3.86,,5,11,,5,6,,3,13,,2287,2422,,70.2,105.1,.362,.331,.550,52.0,39.4,7.4,8.8,.519,17.9,33.4,.251
97,George Mason,36,27,9,.750,7.20,0.83,,15,3,,18,2,,7,6,,2564,2296,,65.3,106.9,.423,.369,.560,53.0,52.5,11.3,10.8,.521,16.9,32.0,.302
98,George Washington,34,21,13,.618,2.00,-1.70,,9,9,,13,4,,5,6,,2489,2327,,67.5,107.2,.404,.419,.548,50.1,55.5,13.0,8.5,.512,15.9,31.7,.280
99,Georgetown,34,18,16,.529,8.18,5.77,,8,12,,14,5,,3,9,,2447,2365,,68.4,105.2,.256,.381,.529,50.8,52.7,11.5,10.7,.504,14.6,31.6,.180
100,Georgia NCAA,33,20,13,.606,16.36,10.94,,8,10,,15,3,,3,7,,2486,2307,,68.6,109.8,.401,.370,.558,52.8,47.8,11.3,14.5,.521,16.1,36.0,.288
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
101,Georgia Southern,33,17,16,.515,-7.53,-5.47,,8,10,,11,3,,4,11,,2449,2505,,70.0,104.4,.267,.442,.527,49.5,50.7,11.1,10.6,.506,16.0,33.0,.175
102,Georgia State,33,14,19,.424,-7.51,-3.01,,8,10,,9,6,,3,11,,2479,2583,,69.8,107.3,.328,.338,.537,51.4,44.7,7.5,7.8,.508,14.5,33.2,.225
103,Georgia Tech,34,17,17,.500,6.30,5.89,,10,10,,14,6,,2,9,,2485,2471,,69.0,104.4,.307,.368,.530,51.0,56.1,8.4,10.2,.502,15.0,30.3,.211
104,Gonzaga NCAA,35,26,9,.743,23.75,7.27,,14,4,,13,2,,8,2,,3024,2447,,70.4,121.5,.307,.336,.597,53.8,62.4,10.5,8.3,.560,11.6,32.5,.246
105,Grambling,34,12,22,.353,-12.44,-7.57,,7,11,,6,7,,4,12,,2271,2301,,67.0,99.0,.333,.348,.526,49.2,48.4,9.9,9.8,.488,16.7,26.7,.243
106,Grand Canyon NCAA,34,26,8,.765,4.97,-2.63,,13,3,,16,1,,5,4,,2661,2362,,72.5,107.5,.439,.341,.554,52.5,51.8,12.6,13.2,.509,15.7,32.6,.321
107,Green Bay,32,4,28,.125,-13.21,-2.53,,2,18,,3,11,,1,17,,2237,2570,,69.0,100.9,.367,.459,.555,44.7,60.2,7.1,5.5,.508,16.6,19.1,.288
108,Hampton,33,17,16,.515,-5.21,-4.01,,8,10,,10,4,,4,9,,2391,2309,,67.0,107.8,.300,.369,.520,52.5,45.7,11.2,9.1,.487,13.4,35.3,.214
109,Harvard,27,12,15,.444,-7.89,-3.92,,7,7,,7,5,,5,10,,1848,1945,,66.7,102.1,.249,.399,.539,47.4,54.3,11.0,7.7,.508,15.8,25.1,.191
110,Hawaii,31,15,16,.484,-3.57,-1.02,,7,13,,13,7,,2,9,,2173,2208,,66.7,104.2,.392,.382,.552,54.2,49.4,5.3,6.0,.511,17.5,31.3,.290
111,High Point NCAA,35,29,6,.829,5.30,-5.19,,14,2,,16,1,,7,3,,2858,2413,,67.1,121.3,.367,.393,.599,53.7,45.4,9.1,7.8,.564,13.2,35.0,.280
112,Hofstra,33,15,18,.455,-4.97,-3.88,,6,12,,6,7,,5,9,,2202,2141,,64.9,101.2,.256,.431,.527,49.9,56.3,9.0,11.9,.500,15.1,25.7,.183
113,Holy Cross,32,13,19,.406,-12.54,-7.37,,5,13,,7,6,,4,13,,2227,2307,,66.2,104.3,.220,.417,.558,49.2,48.3,6.9,7.8,.537,16.1,23.4,.159
114,Houston NCAA,40,35,5,.875,28.45,13.45,,19,1,,16,1,,10,0,,2946,2346,,62.4,116.2,.272,.347,.547,53.9,45.1,12.2,15.8,.517,11.8,36.9,.201
115,Houston Christian,32,12,20,.375,-8.17,-2.97,,9,11,,8,7,,4,12,,2111,2220,,65.3,101.0,.312,.439,.524,46.9,46.9,12.1,9.4,.495,15.7,26.7,.214
116,Howard,32,12,20,.375,-12.02,-6.88,,7,7,,8,6,,3,11,,2480,2538,,71.5,107.5,.367,.399,.575,49.9,59.4,7.8,7.7,.539,18.1,30.1,.272
117,Idaho,33,14,19,.424,-8.00,-3.49,,8,10,,8,6,,5,11,,2430,2493,,67.1,109.3,.339,.473,.559,49.6,49.2,8.7,8.1,.522,15.2,29.9,.254
118,Idaho State,30,15,15,.500,-3.95,-4.02,,10,8,,10,4,,5,10,,2230,2099,,66.7,110.9,.336,.376,.532,56.4,51.1,9.0,12.9,.492,13.3,39.7,.249
119,Illinois NCAA,35,22,13,.629,21.59,12.79,,12,8,,13,4,,5,5,,2927,2619,,72.3,114.8,.344,.472,.563,56.0,51.7,5.9,9.2,.524,13.6,35.8,.262
120,Illinois State,36,22,14,.611,1.91,-0.57,,10,10,,12,4,,5,7,,2727,2585,,66.1,114.2,.311,.472,.598,50.8,54.3,8.4,5.5,.570,14.2,24.9,.233
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
121,Illinois-Chicago,31,17,14,.548,-0.63,0.58,,10,10,,9,5,,7,6,,2357,2286,,69.1,108.2,.339,.392,.556,51.8,57.3,9.6,8.2,.523,15.0,30.5,.244
122,Incarnate Word,36,19,17,.528,-5.61,-5.23,,9,11,,11,5,,4,10,,2659,2508,,65.4,112.1,.289,.358,.557,52.5,45.2,10.5,10.1,.534,14.7,35.7,.198
123,Indiana,32,19,13,.594,14.63,12.00,,10,10,,14,4,,4,6,,2389,2305,,69.1,107.7,.331,.332,.543,51.9,58.4,8.4,9.2,.511,14.4,31.5,.233
124,Indiana State,32,14,18,.438,-3.15,-0.65,,8,12,,8,6,,4,9,,2563,2545,,72.4,109.4,.344,.494,.585,50.6,57.2,9.3,5.9,.551,17.0,26.7,.258
125,Iona,34,17,17,.500,-8.58,-7.78,,12,8,,7,7,,7,7,,2369,2396,,68.6,100.9,.279,.347,.504,53.1,56.4,13.9,9.4,.475,17.3,39.1,.191
126,Iowa,33,17,16,.515,12.85,10.06,,7,13,,12,6,,2,8,,2722,2630,,71.4,115.1,.260,.410,.587,46.4,59.8,9.3,11.0,.568,12.2,25.1,.183
127,Iowa State NCAA,35,25,10,.714,22.33,10.33,,13,7,,15,2,,6,5,,2812,2392,,69.4,114.1,.379,.368,.586,53.0,53.4,13.2,10.1,.549,14.9,32.2,.285
128,IU Indy,32,10,22,.313,-11.52,-4.24,,6,14,,6,8,,4,12,,2402,2458,,66.8,112.0,.337,.469,.553,49.4,54.3,9.3,6.1,.516,13.1,31.9,.250
