Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,SOS,Momentum,Intuition
La Salle,,103.1,,,,69.6,0.469,,13.1,,1.02,,0.0
Lafayette,,102.8,,,,65.9,0.506,,14.6,,-8.35,,0.0
nan,,,,,,,,,,,,,0.0
Lamar,,104.2,,,,66.8,0.485,,15.5,,-2.64,,0.0
Le Moyne,,104.6,,,,69.0,0.529,,17.3,,-8.35,,0.0
Lehigh,,103.6,,,,67.3,0.521,,14.3,,-6.71,,0.0
Liberty,,112.7,,,,67.1,0.583,,13.7,,-0.99,,0.0
Lindenwood,,99.3,,,,70.6,0.47,,15.2,,-7.27,,0.0
Lipscomb,,115.2,,,,68.0,0.555,,12.8,,-4.43,,0.0
Little Rock,,101.1,,,,68.1,0.502,,17.5,,-7.67,,0.0
Long Beach State,,100.8,,,,65.9,0.498,,18.8,,-0.53,,0.0
Long Island University,,101.5,,,,65.5,0.488,,16.6,,-9.97,,0.0
Longwood,,110.8,,,,70.6,0.519,,15.2,,-5.04,,0.0
Louisiana,,97.4,,,,66.7,0.458,,14.1,,-2.33,,0.0
Louisiana State,,105.0,,,,69.5,0.511,,16.1,,9.68,,0.0
Louisiana Tech,,109.1,,,,66.6,0.536,,16.3,,-0.72,,0.0
Louisiana-Monroe,,99.6,,,,68.7,0.464,,14.5,,-4.3,,0.0
Louisville,,113.3,,,,69.0,0.532,,14.0,,9.49,,0.0
Loyola (IL),,108.0,,,,67.4,0.532,,15.2,,0.19,,0.0
Loyola (MD),,102.8,,,,67.0,0.5,,15.5,,-8.48,,0.0
Loyola Marymount,,103.6,,,,68.7,0.507,,13.6,,2.94,,0.0
Maine,,105.2,,,,67.1,0.521,,13.9,,-8.4,,0.0
Manhattan,,110.8,,,,67.5,0.51,,14.3,,-8.37,,0.0
nan,,,,,,,,,,,,,0.0
Marist,,101.5,,,,64.2,0.499,,15.9,,-10.45,,0.0
Marquette,,111.6,,,,68.1,0.52,,11.8,,10.37,,0.0
Marshall,,109.0,,,,69.2,0.505,,14.1,,-4.52,,0.0
Maryland,,114.8,,,,70.4,0.536,,12.4,,9.41,,0.0
Maryland-Baltimore County,,110.0,,,,71.6,0.559,,14.2,,-8.21,,0.0
Maryland-Eastern Shore,,98.2,,,,68.7,0.484,,17.0,,-4.47,,0.0
Massachusetts,,101.2,,,,71.0,0.455,,13.6,,0.15,,0.0
Massachusetts-Lowell,,112.2,,,,70.3,0.558,,15.8,,-7.6,,0.0
McNeese State,,115.3,,,,66.4,0.542,,13.9,,-1.05,,0.0
Memphis,,111.0,,,,71.2,0.535,,16.5,,5.66,,0.0
Mercer,,103.9,,,,72.4,0.5,,14.2,,-5.11,,0.0
Mercyhurst,,102.6,,,,65.4,0.494,,14.6,,-9.68,,0.0
Merrimack,,100.7,,,,64.7,0.494,,12.5,,-6.04,,0.0
Miami (FL),,108.6,,,,67.6,0.519,,14.0,,7.03,,0.0
Miami (OH),,113.8,,,,70.6,0.57,,15.1,,-5.36,,0.0
Michigan,,109.5,,,,70.7,0.538,,17.0,,13.69,,0.0
Michigan State,,112.3,,,,69.0,0.509,,14.0,,11.89,,0.0
Middle Tennessee,,108.1,,,,69.2,0.516,,14.0,,1.02,,0.0
Milwaukee,,111.4,,,,69.9,0.517,,15.6,,-3.79,,0.0
Minnesota,,104.6,,,,63.8,0.499,,14.3,,10.14,,0.0
nan,,,,,,,,,,,,,0.0
Mississippi,,110.8,,,,69.2,0.514,,11.4,,12.8,,0.0
Mississippi State,,113.0,,,,69.6,0.519,,12.9,,11.79,,0.0
Mississippi Valley State,,81.3,,,,66.6,0.434,,21.8,,-4.77,,0.0
Missouri,,119.4,,,,69.8,0.558,,13.4,,9.49,,0.0
Missouri State,,102.4,,,,64.6,0.513,,17.8,,0.52,,0.0
Monmouth,,103.3,,,,67.3,0.472,,14.0,,-3.11,,0.0
Montana,,112.3,,,,68.0,0.565,,14.4,,-1.6,,0.0
Montana State,,106.6,,,,66.7,0.529,,13.5,,-2.71,,0.0
Morehead State,,100.2,,,,65.8,0.47,,15.3,,-7.52,,0.0
Morgan State,,108.2,,,,73.0,0.514,,15.7,,-8.55,,0.0
Mount St. Mary's,,101.7,,,,68.0,0.512,,18.9,,-6.48,,0.0
Murray State,,106.7,,,,65.8,0.502,,14.7,,0.4,,0.0
Navy,,105.5,,,,66.8,0.486,,13.8,,-8.78,,0.0
NC State,,105.4,,,,65.8,0.483,,12.5,,6.36,,0.0
Nebraska,,108.5,,,,69.0,0.521,,14.3,,10.46,,0.0
Nevada,,110.6,,,,64.9,0.537,,13.8,,5.25,,0.0
Nevada-Las Vegas,,104.9,,,,66.0,0.497,,14.1,,5.53,,0.0
New Hampshire,,96.2,,,,69.0,0.479,,16.7,,-7.47,,0.0
New Mexico,,109.9,,,,72.8,0.515,,13.4,,6.52,,0.0
New Mexico State,,103.4,,,,67.1,0.475,,13.7,,0.41,,0.0
nan,,,,,,,,,,,,,0.0
New Orleans,,96.9,,,,69.5,0.459,,16.0,,-0.61,,0.0
Niagara,,103.7,,,,65.2,0.526,,16.7,,-8.56,,0.0
Nicholls State,,106.6,,,,68.9,0.49,,13.0,,-2.46,,0.0
NJIT,,96.8,,,,67.1,0.458,,15.5,,-7.85,,0.0
Norfolk State,,112.2,,,,68.2,0.535,,15.6,,-6.65,,0.0
North Alabama,,115.4,,,,67.7,0.518,,11.0,,-5.5,,0.0
North Carolina,,113.4,,,,70.7,0.541,,13.3,,11.22,,0.0
North Carolina A&T,,99.5,,,,69.5,0.464,,13.3,,-4.31,,0.0
North Carolina Central,,110.3,,,,70.3,0.52,,15.7,,-8.05,,0.0
North Dakota,,109.8,,,,70.4,0.5,,13.6,,-1.49,,0.0
North Dakota State,,120.2,,,,66.4,0.581,,13.6,,-3.58,,0.0
North Florida,,111.9,,,,73.2,0.54,,13.1,,-3.74,,0.0
North Texas,,110.7,,,,61.4,0.513,,14.4,,0.84,,0.0
Northeastern,,104.4,,,,67.1,0.511,,16.0,,-5.08,,0.0
Northern Arizona,,111.6,,,,68.0,0.521,,12.6,,-5.73,,0.0
Northern Colorado,,116.0,,,,68.8,0.58,,14.2,,-3.84,,0.0
Northern Illinois,,98.9,,,,70.9,0.49,,14.4,,-4.52,,0.0
Northern Iowa,,111.1,,,,65.7,0.552,,14.3,,0.46,,0.0
Northern Kentucky,,104.9,,,,67.4,0.504,,15.1,,-3.14,,0.0
Northwestern,,107.9,,,,66.1,0.498,,12.8,,11.13,,0.0
nan,,,,,,,,,,,,,0.0
Northwestern State,,102.7,,,,64.8,0.494,,17.2,,-1.44,,0.0
Notre Dame,,108.2,,,,65.4,0.517,,14.4,,6.92,,0.0
Oakland,,106.9,,,,64.6,0.501,,15.2,,-0.95,,0.0
Ohio,,110.6,,,,71.6,0.541,,13.6,,-4.37,,0.0
Ohio State,,112.4,,,,68.5,0.535,,13.7,,12.58,,0.0
Oklahoma,,112.0,,,,69.9,0.544,,15.4,,11.22,,0.0
Oklahoma State,,101.5,,,,71.9,0.486,,16.6,,10.18,,0.0
Old Dominion,,101.8,,,,66.2,0.447,,14.1,,-4.25,,0.0
Omaha,,112.0,,,,69.1,0.529,,13.6,,-2.43,,0.0
Oral Roberts,,106.9,,,,68.3,0.519,,15.0,,-0.78,,0.0
Oregon,,110.2,,,,68.7,0.525,,14.2,,12.32,,0.0
Oregon State,,115.8,,,,65.1,0.548,,14.6,,2.24,,0.0
Pacific,,101.3,,,,68.2,0.491,,16.6,,2.09,,0.0
Penn State,,111.4,,,,71.0,0.541,,15.4,,7.7,,0.0
Pennsylvania,,102.6,,,,67.5,0.494,,14.3,,-2.74,,0.0
Pepperdine,,105.3,,,,69.5,0.503,,13.9,,2.56,,0.0
Pittsburgh,,112.6,,,,66.8,0.522,,12.9,,8.24,,0.0
Portland,,103.4,,,,69.5,0.511,,16.1,,2.17,,0.0
Portland State,,107.6,,,,69.9,0.525,,15.5,,-5.27,,0.0
Prairie View,,99.6,,,,71.7,0.489,,14.8,,-7.3,,0.0
nan,,,,,,,,,,,,,0.0
Presbyterian,,110.4,,,,66.5,0.53,,13.7,,-4.35,,0.0
Princeton,,107.4,,,,68.6,0.52,,13.3,,-2.49,,0.0
Providence,,106.6,,,,66.6,0.521,,16.3,,8.33,,0.0
Purdue,,116.8,,,,66.2,0.559,,13.7,,13.91,,0.0
Purdue Fort Wayne,,113.2,,,,70.5,0.554,,12.1,,-4.06,,0.0
Queens (NC),,108.9,,,,69.7,0.528,,15.5,,-4.95,,0.0
Quinnipiac,,102.9,,,,71.6,0.482,,15.4,,-7.72,,0.0
Radford,,113.1,,,,64.9,0.521,,14.8,,-3.43,,0.0
Rhode Island,,108.3,,,,71.2,0.531,,15.8,,-0.91,,0.0
Rice,,105.8,,,,65.9,0.485,,15.0,,-2.12,,0.0
Richmond,,100.7,,,,64.8,0.489,,14.0,,1.45,,0.0
Rider,,102.6,,,,65.3,0.477,,14.6,,-7.24,,0.0
Robert Morris,,109.8,,,,68.8,0.513,,15.6,,-4.92,,0.0
Rutgers,,108.8,,,,69.4,0.506,,13.3,,10.94,,0.0
Sacramento State,,100.2,,,,66.1,0.504,,17.4,,-4.06,,0.0
Sacred Heart,,107.8,,,,70.0,0.516,,15.0,,-8.41,,0.0
Saint Francis (PA),,104.0,,,,67.1,0.534,,16.9,,-7.41,,0.0
Saint Joseph's,,109.0,,,,68.4,0.516,,14.2,,0.85,,0.0
Saint Louis,,107.8,,,,68.5,0.565,,16.7,,2.04,,0.0
Saint Mary's (CA),,113.6,,,,63.7,0.504,,12.4,,6.46,,0.0
nan,,,,,,,,,,,,,0.0
Saint Peter's,,100.6,,,,65.0,0.458,,17.2,,-8.45,,0.0
Sam Houston,,107.8,,,,69.1,0.52,,15.7,,1.31,,0.0
Samford,,114.5,,,,71.8,0.545,,15.2,,-3.58,,0.0
San Diego,,98.0,,,,71.6,0.459,,16.0,,1.63,,0.0
San Diego State,,105.8,,,,66.4,0.509,,14.2,,8.14,,0.0
San Francisco,,109.7,,,,69.0,0.528,,14.7,,3.87,,0.0
San Jose State,,106.3,,,,67.1,0.514,,14.9,,4.05,,0.0
Santa Clara,,115.7,,,,70.1,0.56,,14.5,,4.25,,0.0
Seattle,,103.7,,,,67.9,0.474,,14.4,,-1.35,,0.0
Seton Hall,,94.0,,,,64.7,0.447,,16.4,,8.36,,0.0
Siena,,105.2,,,,67.6,0.494,,15.0,,-7.58,,0.0
South Alabama,,110.9,,,,64.2,0.518,,12.3,,-4.12,,0.0
South Carolina,,103.7,,,,66.8,0.489,,15.9,,11.55,,0.0
South Carolina State,,110.3,,,,71.5,0.529,,16.8,,-9.05,,0.0
South Carolina Upstate,,100.9,,,,74.1,0.511,,16.9,,-2.7,,0.0
South Dakota,,114.1,,,,74.7,0.511,,11.1,,-3.49,,0.0
South Dakota State,,114.2,,,,69.7,0.543,,14.8,,-1.82,,0.0
South Florida,,105.9,,,,69.7,0.503,,13.8,,-0.18,,0.0
Southeast Missouri State,,105.4,,,,69.7,0.518,,13.6,,-7.8,,0.0
Southeastern Louisiana,,106.7,,,,67.5,0.497,,14.7,,-4.67,,0.0
nan,,,,,,,,,,,,,0.0
Southern,,105.1,,,,70.6,0.49,,14.9,,-7.9,,0.0
Southern California,,110.4,,,,69.0,0.548,,15.7,,10.86,,0.0
Southern Illinois,,105.7,,,,68.4,0.52,,15.8,,1.07,,0.0
SIU Edwardsville,,105.0,,,,67.7,0.492,,14.2,,-7.44,,0.0
Southern Indiana,,103.0,,,,68.5,0.488,,14.6,,-8.4,,0.0
Southern Methodist,,115.3,,,,69.3,0.545,,14.7,,5.72,,0.0
Southern Mississippi,,99.0,,,,71.4,0.486,,16.9,,-3.33,,0.0
Southern Utah,,98.5,,,,70.8,0.476,,17.7,,-2.13,,0.0
St. Bonaventure,,104.7,,,,65.3,0.499,,13.9,,0.07,,0.0
St. John's (NY),,110.3,,,,70.1,0.492,,12.6,,8.56,,0.0
St. Thomas,,118.8,,,,69.8,0.582,,12.3,,-4.51,,0.0
Stanford,,109.4,,,,67.1,0.507,,13.5,,6.07,,0.0
Stephen F. Austin,,96.5,,,,68.2,0.475,,19.0,,-3.29,,0.0
Stetson,,102.4,,,,69.5,0.509,,16.5,,-4.7,,0.0
Stonehill,,103.7,,,,66.3,0.513,,16.2,,-9.55,,0.0
Stony Brook,,102.5,,,,64.9,0.48,,15.5,,-4.42,,0.0
Syracuse,,106.3,,,,68.7,0.51,,15.4,,8.04,,0.0
Tarleton State,,92.4,,,,68.5,0.473,,22.5,,-0.31,,0.0
TCU,,100.3,,,,67.1,0.468,,14.6,,11.64,,0.0
Temple,,110.9,,,,69.4,0.506,,13.4,,-0.37,,0.0
nan,,,,,,,,,,,,,0.0
Tennessee,,114.0,,,,64.9,0.525,,13.7,,13.25,,0.0
Tennessee State,,106.6,,,,71.6,0.519,,17.8,,-8.71,,0.0
Tennessee Tech,,103.8,,,,69.0,0.515,,14.9,,-7.82,,0.0
Tennessee-Martin,,107.0,,,,68.0,0.495,,15.7,,-8.18,,0.0
Texas,,113.1,,,,68.4,0.526,,12.5,,9.79,,0.0
Texas A&M,,109.2,,,,67.8,0.476,,14.4,,13.39,,0.0
Texas A&M-Corpus Christi,,110.5,,,,68.5,0.54,,15.0,,-3.39,,0.0
Texas Southern,,100.7,,,,71.6,0.488,,16.6,,-8.23,,0.0
Texas State,,110.9,,,,67.2,0.515,,15.2,,-3.77,,0.0
Texas Tech,,119.5,,,,66.5,0.547,,12.1,,10.62,,0.0
Texas-Rio Grande Valley,,107.4,,,,71.5,0.527,,16.1,,-3.38,,0.0
The Citadel,,99.1,,,,66.3,0.486,,16.1,,-4.49,,0.0
Toledo,,113.0,,,,69.6,0.512,,11.6,,-2.78,,0.0
Towson,,108.0,,,,64.1,0.484,,12.0,,-3.57,,0.0
Troy,,108.7,,,,67.5,0.502,,16.6,,-2.1,,0.0
Tulane,,109.0,,,,68.1,0.519,,14.0,,-0.73,,0.0
Tulsa,,103.8,,,,67.6,0.503,,14.5,,-1.9,,0.0
UAB,,115.9,,,,70.4,0.506,,11.6,,-0.1,,0.0
UC Davis,,98.6,,,,68.6,0.47,,16.8,,-1.51,,0.0
UC Irvine,,107.2,,,,69.7,0.517,,15.9,,-0.8,,0.0
nan,,,,,,,,,,,,,0.0
UC Riverside,,108.3,,,,68.0,0.498,,13.7,,0.38,,0.0
UC San Diego,,117.7,,,,67.4,0.555,,11.4,,-1.92,,0.0
UC Santa Barbara,,111.0,,,,66.9,0.553,,16.1,,-3.5,,0.0
UCF,,108.2,,,,72.5,0.497,,14.3,,11.22,,0.0
UCLA,,112.0,,,,66.2,0.528,,13.7,,10.71,,0.0
UNC Asheville,,114.8,,,,70.8,0.537,,12.6,,-4.71,,0.0
UNC Greensboro,,111.8,,,,65.2,0.522,,13.0,,-4.13,,0.0
UNC Wilmington,,116.2,,,,67.4,0.531,,13.7,,-3.95,,0.0
UT Arlington,,106.1,,,,69.1,0.521,,16.6,,-2.83,,0.0
Utah,,108.6,,,,69.3,0.518,,15.1,,8.5,,0.0
Utah State,,118.8,,,,67.2,0.56,,13.6,,5.35,,0.0
Utah Tech,,100.5,,,,69.3,0.489,,15.9,,-1.65,,0.0
Utah Valley,,108.8,,,,69.4,0.521,,15.1,,-3.31,,0.0
UTEP,,103.9,,,,69.5,0.503,,15.0,,0.34,,0.0
UTSA,,108.1,,,,70.4,0.503,,13.4,,0.52,,0.0
Valparaiso,,107.8,,,,68.5,0.491,,12.3,,-0.12,,0.0
Vanderbilt,,112.6,,,,69.8,0.515,,12.5,,10.05,,0.0
Vermont,,103.4,,,,64.4,0.505,,15.3,,-7.61,,0.0
Villanova,,115.7,,,,63.8,0.545,,13.3,,7.45,,0.0
Virginia,,105.1,,,,61.6,0.527,,14.8,,7.71,,0.0
nan,,,,,,,,,,,,,0.0
Virginia Commonwealth,,115.1,,,,66.6,0.526,,14.1,,1.3,,0.0
VMI,,106.1,,,,68.8,0.504,,15.2,,-4.88,,0.0
Virginia Tech,,103.5,,,,66.1,0.512,,17.4,,6.62,,0.0
Wagner,,99.9,,,,61.8,0.469,,15.9,,-10.29,,0.0
Wake Forest,,103.4,,,,67.9,0.494,,14.8,,7.47,,0.0
Washington,,103.4,,,,68.6,0.506,,15.3,,10.76,,0.0
Washington State,,109.8,,,,71.6,0.566,,17.9,,4.32,,0.0
Weber State,,106.6,,,,66.9,0.521,,14.4,,-3.16,,0.0
West Georgia,,99.6,,,,69.3,0.48,,14.3,,-4.5,,0.0
West Virginia,,102.9,,,,65.2,0.5,,14.3,,11.54,,0.0
Western Carolina,,96.1,,,,71.6,0.468,,16.9,,-2.35,,0.0
